n=2730 triples=1340811
init=331143
it=0 cur=331143 best=331143 T=0.83
it=67108864 cur=7630 best=7580 T=0.79
it=134217728 cur=7272 best=7192 T=0.75
it=201326592 cur=6934 best=6901 T=0.72
it=268435456 cur=6816 best=6696 T=0.68
it=335544320 cur=6688 best=6579 T=0.65
it=402653184 cur=6509 best=6454 T=0.62
it=469762048 cur=6317 best=6295 T=0.59
it=536870912 cur=6261 best=6253 T=0.56
it=603979776 cur=6206 best=6161 T=0.54
it=671088640 cur=6114 best=6074 T=0.51
it=738197504 cur=6037 best=6015 T=0.49
it=805306368 cur=5943 best=5932 T=0.47
it=872415232 cur=5939 best=5921 T=0.45
it=939524096 cur=5865 best=5849 T=0.43
it=1006632960 cur=5854 best=5824 T=0.41
it=1073741824 cur=5796 best=5789 T=0.39
it=1140850688 cur=5783 best=5755 T=0.37
it=1207959552 cur=5713 best=5700 T=0.35
it=1275068416 cur=5723 best=5697 T=0.34
it=1342177280 cur=5694 best=5686 T=0.32
it=1409286144 cur=5674 best=5667 T=0.31
it=1476395008 cur=5654 best=5636 T=0.29
it=1543503872 cur=5637 best=5629 T=0.28
it=1610612736 cur=5593 best=5589 T=0.27
it=1677721600 cur=5583 best=5575 T=0.26
it=1744830464 cur=5560 best=5558 T=0.25
it=1811939328 cur=5498 best=5486 T=0.24
it=1879048192 cur=5457 best=5453 T=0.23
it=1946157056 cur=5407 best=5404 T=0.22
it=2013265920 cur=5394 best=5389 T=0.21
it=2080374784 cur=5375 best=5372 T=0.20
it=2147483648 cur=5363 best=5359 T=0.19
