n=2730 triples=1340811
init=331143
it=0 cur=331143 best=331143 T=0.83
it=67108864 cur=15199 best=15106 T=0.79
it=134217728 cur=14666 best=14656 T=0.75
it=201326592 cur=14472 best=14386 T=0.72
it=268435456 cur=14267 best=14231 T=0.68
it=335544320 cur=14171 best=14134 T=0.65
it=402653184 cur=14047 best=14010 T=0.62
it=469762048 cur=13965 best=13940 T=0.59
it=536870912 cur=13941 best=13874 T=0.56
it=603979776 cur=13850 best=13809 T=0.54
it=671088640 cur=13753 best=13746 T=0.51
it=738197504 cur=13708 best=13675 T=0.49
it=805306368 cur=13664 best=13620 T=0.47
it=872415232 cur=13602 best=13580 T=0.45
it=939524096 cur=13579 best=13534 T=0.43
it=1006632960 cur=13533 best=13505 T=0.41
